Harga,Lokasi,Kamar_Tidur,Kamar_Mandi,Luas_Tanah,Luas_Bangunan,Kondisi
"Rp 2,94 Miliar","Semarang Tengah, Kota Semarang",4,2,223,290,Second
"Rp 860 Juta - Rp 1,45 Miliar","Jatiasih, Kota Bekasi",0,0,0,0,Baru
"Rp 1,49 Miliar","Sukarami, Kota Palembang",4,LT 283 m²,LB 218,0,Second
"Rp 1,2 Miliar - Rp 1,55 Miliar","Pancoran Mas, Kota Depok",0,0,0,0,Baru
Rp 350 Juta,"Baki, Kab. Sukoharjo",2,1,71,42,Second
Rp 330 Juta - Rp 350 Juta,"Tajurhalang, Kab. Bogor",0,0,0,0,Baru
Rp 600 Juta,"Bekasi Utara, Kota Bekasi",2,1,66,45,Second
"Rp 759 Juta - Rp 1,1 Miliar","Cibitung, Kab. Bekasi",0,0,0,0,Baru
Rp 570 Juta,"Medansatria (Medan Satria), Kota Bekasi",3,1,LB 75,0,Second
"Rp 885 Juta - Rp 1,35 Miliar","Cimanggis, Kota Depok",3,2,45 - 65,69 - 72,Baru
Rp 750 Juta,"Bojongsoang, Kab. Bandung",3,2,142,76,Second
Rp 635 Juta,"Sokaraja, Kab. Banyumas",2,1,108,54,Baru
"Rp 1,8 Miliar","Cipondoh, Kota Tangerang",5,4,159,110,Second
"Rp 400 Juta - Rp 1,3 Miliar","Patrang, Kab. Jember",2,1-2,60 - 91,40 - 63,Baru
Rp 570 Juta,"Colomadu, Kab. Karanganyar",2,1,96,56,Second
Rp 650 Juta,"Prambanan, Kab. Klaten",3,2,131,65,Baru
"Rp 990,9 Juta","Gunung Sindur, Kab. Bogor",2,2,60,92,Second
Rp 450 Juta - Rp 490 Juta,"Ungaran Barat, Kab. Semarang",2,1,90,50,Baru
Rp 790 Juta,"Serpong, Kota Tangerang Selatan",3,2,58,56,Second
Rp 500 Juta - Rp 899 Juta,"Rawalumbu, Kota Bekasi",0,0,0,0,Baru
"Rp 2,5 Miliar","Benowo, Kota Surabaya",3,2,136,110,Second
Rp 173 Juta,"Pattalasang (Pattallassang), Kab. Gowa",2,1,72,30 - 33,Baru
Rp 900 Juta,"Junrejo, Kota Batu",4,2,175,160,Second
Rp 600 Juta - Rp 630 Juta,"Bojongsari, Kota Depok",0,0,0,0,Baru
Rp 450 Juta,"Kedungkandang, Kota Malang",2,1,65,36,Second
Rp 800 Juta - Rp 880 Juta,"Bojongsari, Kota Depok",0,0,0,0,Baru
"Rp 5,2 Miliar","Banjarsari, Kota Surakarta",3,3,LB 350,0,Second
"Rp 1,7 Miliar - Rp 4,65 Miliar","Coblong, Kota Bandung",3,2-3,108 - 190,100 - 190,Baru
Rp 350 Juta,"Gondangrejo, Kab. Karanganyar",2,1,75,0,Second
Rp 741 Juta,"Bogor Utara, Kota Bogor",0,0,0,0,Baru
"Rp 1,3 Miliar","Laweyan, Kota Surakarta",7,4,167,150,Second
Rp 890 Juta,"Bogor Barat, Kota Bogor",0,0,0,0,Baru
"Rp 3,9 Miliar","Mulyorejo, Kota Surabaya",4,4,160,0,Second
Rp 990 Juta,"Pancoran Mas, Kota Depok",0,0,0,0,Baru
"Rp 1,7 Miliar","Karangpilang, Kota Surabaya",2,2,136,100,Second
"Rp 1,51 Miliar - Rp 2,2 Miliar","Cinere, Kota Depok",3,2,63,90,Baru
Rp 450 Juta,"Ujungberung (Ujung Berung), Kota Bandung",3,1,77,70,Second
Rp 338 Juta - Rp 509 Juta,"Ngrampal, Kab. Sragen",2,1,72 - 78,34 - 40,Baru
"Rp 2,7 Miliar","Duren Sawit, Kota Jakarta Timur",4,3,120,140,Second
Rp 175 Juta - Rp 180 Juta,"Bandongan, Kab. Magelang",2,1,60,27,Baru
"Rp 1,75 Miliar","Jagakarsa, Kota Jakarta Selatan",4,4,100,150,Second
Rp 175 Juta - Rp 185 Juta,"Muntilan, Kab. Magelang",2,1,60,27,Baru
Rp 400 Juta,"Cisauk, Kab. Tangerang",2,1,70,45,Second
"Rp 1,5 Miliar - Rp 1,63 Miliar","Ngaglik, Kab. Sleman",3,2,84,90,Baru
Rp 400 Juta,"Cisauk, Kab. Tangerang",2,1,70,45,Second
"Rp 661 Juta - Rp 1,5 Miliar","Mertoyudan, Kab. Magelang",3,2,63,50,Baru
Rp 15 Miliar,"Candisari, Kota Semarang",10,8,1.397,500,Second
"Rp 1,28 Miliar - Rp 1,5 Miliar","Mertoyudan, Kab. Magelang",3,2,128,90,Baru
"Rp 1,15 Miliar","Padalarang, Kab. Bandung Barat",3,2,60,100,Second
"Rp 1,29 Miliar - Rp 1,6 Miliar","Ciracas, Kota Jakarta Timur",0,0,0,0,Baru
"Rp 2,4 Miliar","Kelapa Gading, Kota Jakarta Utara",4,3,120,0,Second
"Rp 1,85 Miliar - Rp 2 Miliar","Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
Rp 2 Miliar,"Bojongloa Kidul, Kota Bandung",5,4,120,200,Second
"Rp 462,2 Juta - Rp 2,24 Miliar","Rumbai Pesisir, Kota Pekanbaru",2-4,1-3,90 - 247,38 - 196,Baru
"Rp 6,9 Miliar","Duren Sawit, Kota Jakarta Timur",5,4,328,0,Second
Rp 320 Juta - Rp 411 Juta,"Bandarkedungmulyo (Bandar Kedung Mulyo), Kab. Jombang",3,1,66,45,Baru
"Rp 1,2 Miliar","Gunung Anyar (Gununganyar), Kota Surabaya",4,2,120,75,Second
Rp 424 Juta - Rp 556 Juta,"Tajurhalang, Kab. Bogor",2,1,72 - 90,36 - 58,Baru
Rp 850 Juta,"Medansatria (Medan Satria), Kota Bekasi",2,1,90,45,Second
Rp 166 Juta,"Jambi Luar Kota, Kab. Muaro Jambi",2,1,104,36,Baru
"Rp 6,9 Miliar","Taman Sari, Kota Jakarta Barat",5,4,209,486,Second
Rp 166 Juta,"Sungai Gelam, Kab. Muaro Jambi",2,1,101,36,Baru
Rp 390 Juta,"Tarumajaya, Kab. Bekasi",2,1,60,36,Second
Rp 166 Juta,"Jambi Luar Kota, Kab. Muaro Jambi",2,1,105,36,Baru
"Rp 2,6 Miliar","Serpong Utara, Kota Tangerang Selatan",4,3,128,140,Second
Rp 400 Juta - Rp 515 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
"Rp 2,45 Miliar","Bekasi Utara, Kota Bekasi",5,3,91,200,Second
"Rp 1 Miliar - Rp 1,6 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",0,0,0,0,Baru
"Rp 3,5 Miliar","Cisauk, Kab. Tangerang",3,2,126,200,Second
Rp 500 Juta - Rp 615 Juta,"Setu, Kab. Bekasi",0,0,0,0,Baru
"Rp 2,35 Miliar","Serpong Utara, Kota Tangerang Selatan",4,4,120,140,Second
"Rp 1 Miliar - Rp 1,5 Miliar","Bekasi Barat, Kota Bekasi",0,0,0,0,Baru
"Rp 1,2 Miliar","Kelapa Dua, Kab. Tangerang",2,2,40,53,Second
Rp 600 Juta - Rp 750 Juta,"Bekasi Barat, Kota Bekasi",0,0,0,0,Baru
"Rp 1,75 Miliar","Jatiasih, Kota Bekasi",5,2,200,150,Second
"Rp 1,57 Miliar - Rp 2,33 Miliar","Serpong, Kota Tangerang Selatan",3,3,129,84,Baru
"Rp 1,2 Miliar","Cibinong, Kab. Bogor",3,3,120,100,Second
Rp 389 Juta - Rp 519 Juta,"Cileunyi, Kab. Bandung",2,1,60,32,Baru
"Rp 1,2 Miliar","Cibinong, Kab. Bogor",3,3,120,100,Second
Rp 538 Juta - Rp 698 Juta,"Soreang, Kab. Bandung",2,1,72,33,Baru
Rp 950 Juta,"Bojongsari, Kota Depok",3,2,84,75,Second
Rp 669 Juta - Rp 857 Juta,"Soreang, Kab. Bandung",2-3,1-2,61 - 64,38 - 50,Baru
"Rp 5,45 Miliar","Tulungagung, Kab. Tulungagung",6,3,650,300,Second
Rp 400 Juta - Rp 565 Juta,"Bekasi Utara, Kota Bekasi",0,0,0,0,Baru
Rp 675 Juta,"Sumbersari (Sumber Sari), Kab. Jember",2,1,124,80,Second
Rp 447 Juta - Rp 545 Juta,"Taman, Kota Madiun",2,1,90,50,Baru
Rp 480 Juta,"Cikarang Barat, Kab. Bekasi",2,1,LB 36,0,Second
Rp 851 Juta - Rp 900 Juta,"Padalarang, Kab. Bandung Barat",3,2,60,50,Baru
Rp 450 Juta,"Cinere, Kota Depok",3,2,72,62,Second
Rp 188 Juta - Rp 285 Juta,"Pangkah, Kab. Tegal",2,1,66 - 77,32 - 40,Baru
Rp 850 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",2,1,85,36,Second
Rp 400 Juta - Rp 480 Juta,"Baleendah, Kab. Bandung",2,1,60,40,Baru
Rp 550 Juta,"Buduran, Kab. Sidoarjo",2,2,105,105,Second
Rp 600 Juta - Rp 772 Juta,"Tambun Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 962,5 Juta","Cimanggis, Kota Depok",3,2,50,80,Second
Rp 326 Juta - Rp 491 Juta,"Kedungkandang, Kota Malang",LT 60 m²,0,0,0,Baru
Rp 350 Juta,"Rajeg, Kab. Tangerang",2,1,60,45,Second
Rp 165 Juta - Rp 235 Juta,"Pakis, Kab. Malang",LT 66 m²,0,0,0,Baru
Rp 3 Miliar,"Medansatria (Medan Satria), Kota Bekasi",4,4,160,275,Second
Rp 108 Juta - Rp 235 Juta,"Pakis, Kab. Malang",LT 60 m²,0,0,0,Baru
"Rp 2,5 Miliar","Medansatria (Medan Satria), Kota Bekasi",4,2,LB 250,0,Second
"Rp 2,5 Miliar - Rp 5,42 Miliar","Coblong, Kota Bandung",3,2-3,108 - 190,100 - 144,Baru
"Rp 1,5 Miliar","Ciputat, Kota Tangerang Selatan",3,2,140,120,Second
Rp 624 Juta,"Mijen, Kota Semarang",0,0,0,0,Baru
"Rp 2,85 Miliar","Gunung Putri, Kab. Bogor",3,3,128,140,Second
"Rp 1,98 Miliar - Rp 2,04 Miliar","Kembangan, Kota Jakarta Barat",3,2,78,110,Baru
"Rp 6,5 Miliar","Gubeng, Kota Surabaya",14,14,351,506,Second
"Rp 998 Juta - Rp 1,12 Miliar","Jagakarsa, Kota Jakarta Selatan",3,2,57,92,Baru
"Rp 2,1 Miliar","Gunung Putri, Kab. Bogor",3,3,LB 1.001,0,Second
"Rp 1,79 Miliar - Rp 2,27 Miliar","Kramatjati (Kramat Jati), Kota Jakarta Timur",3,2,76 - 105,76 - 105,Baru
Rp 250 Juta,"Cipayung, Kota Jakarta Timur",2,1,40,25,Second
"Rp 1,41 Miliar - Rp 1,64 Miliar","Beji, Kota Depok",3,2,63,75,Baru
"Rp 1,5 Miliar","Sukolilo, Kota Surabaya",3,2,109,100,Second
"Rp 1,2 Miliar - Rp 1,4 Miliar","Jagakarsa, Kota Jakarta Selatan",2,2,48,40,Baru
Rp 480 Juta,"Tambaksari, Kota Surabaya",3,1,50,55,Second
Rp 360 Juta - Rp 375 Juta,"Sepatan, Kab. Tangerang",0,0,0,0,Baru
Rp 997 Juta,"Gajahmungkur (Gajah Mungkur), Kota Semarang",4,1,124,124,Second
Rp 973 Juta,"Cilodong, Kota Depok",0,0,0,0,Baru
"Rp 12,84 Miliar","Pasar Minggu, Kota Jakarta Selatan",3,3,982,0,Second
Rp 779 Juta - Rp 896 Juta,"Jatiasih, Kota Bekasi",0,0,0,0,Baru
Rp 14 Miliar,"Girian, Kota Bitung",8,7,3.434,800,Second
Rp 775 Juta - Rp 895 Juta,"Jatiasih, Kota Bekasi",0,0,0,0,Baru
"Rp 1,9 Miliar","Ciputat, Kota Tangerang Selatan",5,3,358,250,Second
Rp 450 Juta - Rp 520 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
Rp 620 Juta,"Karang Ploso (Karangploso), Kab. Malang",2,1,200,100,Second
"Rp 3,34 Miliar","Cikarang Selatan, Kab. Bekasi",0,0,0,0,Baru
"Rp 7,36 Miliar","Pesanggrahan, Kota Jakarta Selatan",4,4,415,500,Second
"Rp 407,48 Juta - Rp 585,04 Juta","Jatisampurna (Jati Sampurna), Kota Bekasi",0,0,0,0,Baru
"Rp 1,35 Miliar","Tarumajaya, Kab. Bekasi",2,LT 144 m²,LB 100,0,Second
Rp 418 Juta - Rp 518 Juta,"Cibinong, Kab. Bogor",0,0,0,0,Baru
"Rp 1,8 Miliar","Cakung, Kota Jakarta Timur",4,3,90,75,Second
Rp 1 Miliar - Rp 2 Miliar,"Rawalumbu, Kota Bekasi",0,0,0,0,Baru
"Rp 3,4 Miliar","Kembangan, Kota Jakarta Barat",4,5,144,144,Second
"Rp 1,48 Miliar - Rp 1,58 Miliar","Ciputat Timur, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 1,3 Miliar","Serpong Utara, Kota Tangerang Selatan",2,1,117,85,Second
"Rp 1,7 Miliar - Rp 2,18 Miliar","Rawalumbu, Kota Bekasi",0,0,0,0,Baru
"Rp 2,4 Miliar","Gambir, Kota Jakarta Pusat",3,3,150,185,Second
Rp 475 Juta - Rp 550 Juta,"Jatiasih, Kota Bekasi",2,1,60,40,Baru
"Rp 3,2 Miliar","Cimahi Tengah, Kota Cimahi",5,3,288,200,Second
"Rp 1,4 Miliar - Rp 1,6 Miliar","Cimanggis, Kota Depok",0,0,0,0,Baru
"Rp 1,45 Miliar","Tanah Sareal (Tanah Sereal), Kota Bogor",4,3,169,120,Second
Rp 400 Juta,"Cisauk, Kab. Tangerang",0,0,0,0,Baru
Rp 899 Juta,"Sepatan, Kab. Tangerang",3,3,126,75,Second
Rp 900 Juta,"Setu, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 899 Juta,"Sepatan, Kab. Tangerang",3,3,126,75,Second
"Rp 871,2 Juta - Rp 900 Juta","Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
"Rp 1,2 Miliar","Bekasi Utara, Kota Bekasi",3,LT 96 m²,LB 90,0,Second
Rp 494 Juta - Rp 533 Juta,"Setu, Kab. Bekasi",0,0,0,0,Baru
Rp 350 Juta,"Pakisaji, Kab. Malang",2,1,150,100,Second
Rp 299 Juta - Rp 599 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
Rp 21 Miliar,"Jatiasih, Kota Bekasi",10,10,3.200,800,Second
"Rp 1,14 Miliar - Rp 1,26 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
"Rp 1,9 Miliar","Cinere, Kota Depok",4,4,100,154,Second
"Rp 871,2 Juta - Rp 1,14 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
"Rp 5,5 Miliar","Gajahmungkur (Gajah Mungkur), Kota Semarang",6,5,168,388,Second
Rp 600 Juta - Rp 900 Juta,"Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 3,08 Miliar","Batam Kota, Kota Batam",4,4,144,260,Second
"Rp 1,14 Miliar - Rp 1,26 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
Rp 550 Juta,"Jagakarsa, Kota Jakarta Selatan",2,2,35,70,Second
Rp 525 Juta - Rp 750 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
Rp 225 Juta,"Ngemplak, Kab. Boyolali",2,1,60,36,Second
Rp 478 Juta - Rp 699 Juta,"Pabuaran, Kab. Serang",5-8,5-8,72,50 - 78,Baru
"Rp 796,55 Juta","Banyumanik, Kota Semarang",3,2,79,72,Second
Rp 220 Juta - Rp 250 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",0,0,0,0,Baru
Rp 644 Juta,"Banyumanik, Kota Semarang",3,2,60,72,Second
Rp 898 Juta,"Serpong, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 650 Juta,"Ujungberung (Ujung Berung), Kota Bandung",2,LT 215 m²,LB 150,0,Second
"Rp 1,95 Miliar","Bogor Tengah, Kota Bogor",0,0,0,0,Baru
Rp 495 Juta,"Rancasari, Kota Bandung",2,1,LB 60,0,Second
Rp 772 Juta,"Cibinong, Kab. Bogor",3,2,75,60,Baru
Rp 2 Miliar,"Tebet, Kota Jakarta Selatan",4,3,61,0,Second
Rp 860 Juta - Rp 940 Juta,"Tembalang, Kota Semarang",0,0,0,0,Baru
"Rp 6,9 Miliar","Serpong, Kota Tangerang Selatan",4,3,340,600,Second
Rp 848 Juta,"Serpong, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 599 Juta,"Arcamanik, Kota Bandung",3,2,68,0,Second
Rp 660 Juta - Rp 960 Juta,"Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 1,1 Miliar","Bengkong, Kota Batam",3,2,90,98,Second
Rp 875 Juta,"Kramatjati (Kramat Jati), Kota Jakarta Timur",0,0,0,0,Baru
Rp 22 Miliar,"Penjaringan, Kota Jakarta Utara",5,4,469,800,Second
Rp 759 Juta,"Sukun, Kota Malang",2-3,1-2,88 - 155,50 - 86,Baru
"Rp 10,5 Miliar","Tebet, Kota Jakarta Selatan",8,6,LB 626,0,Second
Rp 355 Juta - Rp 455 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 1,9 Miliar","Cipayung, Kota Jakarta Timur",3,3,107,148,Second
"Rp 645 Juta - Rp 645,56 Juta","Tajurhalang, Kab. Bogor",0,0,0,0,Baru
"Rp 6,8 Miliar","Jebres, Kota Surakarta",6,5,LB 900,0,Second
Rp 370 Juta - Rp 721 Juta,"Campaka, Kab. Purwakarta",2,1,72 - 98,36 - 45,Baru
Rp 580 Juta,"Cipayung, Kota Jakarta Timur",2,1,60,40,Second
"Rp 448,2 Juta - Rp 606,9 Juta","Ciputat, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 4,7 Miliar","Tanah Sareal (Tanah Sereal), Kota Bogor",4,4,425,176,Second
Rp 270 Juta - Rp 300 Juta,"Cibitung, Kab. Bekasi",0,0,0,0,Baru
"Rp 1,14 Miliar","Sukaraja, Kab. Bogor",2,LT 72 m²,LB 84,0,Second
"Rp 680 Juta - Rp 1,8 Miliar","Cisauk, Kab. Tangerang",0,0,0,0,Baru
Rp 1 Miliar,"Kemang, Kab. Bogor",2,2,214,90,Second
"Rp 6,35 Miliar - Rp 7,09 Miliar","Sambikerep, Kota Surabaya",0,0,0,0,Baru
Rp 370 Juta,"Cileunyi, Kab. Bandung",1,1,68,35,Second
Rp 5 Miliar - Rp 13 Miliar,"Wiyung, Kota Surabaya",0,0,0,0,Baru
Rp 675 Juta,"Buahbatu (Margacinta), Kota Bandung",3,2,73,90,Second
Rp 825 Juta - Rp 900 Juta,"Ciracas, Kota Jakarta Timur",0,0,0,0,Baru
Rp 765 Juta,"Pamulang, Kota Tangerang Selatan",2,1,60,36,Second
"Rp 593,7 Juta - Rp 1,1 Miliar","Karang Ploso (Karangploso), Kab. Malang",0,0,0,0,Baru
Rp 795 Juta,"Gunung Sindur, Kab. Bogor",2,LT 78 m²,LB 50,0,Second
"Rp 397,5 Juta - Rp 1,1 Miliar","Karang Ploso (Karangploso), Kab. Malang",0,0,0,0,Baru
Rp 950 Juta,"Serpong, Kota Tangerang Selatan",3,2,70,0,Second
Rp 750 Juta,"Cipayung, Kota Depok",0,0,0,0,Baru
"Rp 8,9 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",4,4,559,586,Second
"Rp 1,3 Miliar","Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
Rp 798 Juta,"Cipayung, Kota Jakarta Timur",3,2,44,67,Second
"Rp 1,1 Miliar - Rp 1,5 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",0,0,0,0,Baru
Rp 975 Juta,"Antapani (Cicadas), Kota Bandung",4,2,LB 110,0,Second
Rp 400 Juta - Rp 495 Juta,"Kemang, Kab. Bogor",0,0,0,0,Baru
"Rp 3,2 Miliar","Antapani (Cicadas), Kota Bandung",5,3,550,350,Second
Rp 930 Juta - Rp 12 Miliar,"Bogor Barat, Kota Bogor",0,0,0,0,Baru
"Rp 1,35 Miliar","Jatiasih, Kota Bekasi",4,3,196,175,Second
"Rp 1,7 Miliar - Rp 1,85 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 410 Juta,"Sukaraja, Kab. Bogor",2,1,72,56,Second
Rp 350 Juta - Rp 700 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
Rp 368 Juta,"Cipayung, Kota Jakarta Timur",2,1,50,40,Second
Rp 760 Juta - Rp 876 Juta,"Cipayung, Kota Jakarta Timur",0,0,0,0,Baru
Rp 450 Juta,"Pasar Rebo, Kota Jakarta Timur",3,2,100,120,Second
"Rp 700 Juta - Rp 1,1 Miliar","Bogor Barat, Kota Bogor",0,0,0,0,Baru
"Rp 15,5 Miliar","Tebet, Kota Jakarta Selatan",5,3,391,400,Second
"Rp 380,79 Juta - Rp 681,17 Juta","Setu, Kab. Bekasi",0,0,0,0,Baru
Rp 890 Juta,"Cisauk, Kab. Tangerang",2,2,55,60,Second
Rp 475 Juta - Rp 495 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 3,3 Miliar","Cempaka Putih, Kota Jakarta Pusat",4,3,226,250,Second
Rp 495 Juta - Rp 540 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 1,59 Miliar","Cipayung, Kota Depok",4,LT 100 m²,LB 135,0,Second
Rp 500 Juta - Rp 800 Juta,"Setu, Kab. Bekasi",0,0,0,0,Baru
"Rp 1,05 Miliar","Tarumajaya, Kab. Bekasi",3,2,105,100,Second
Rp 475 Juta - Rp 495 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
Rp 650 Juta,"Ngamprah, Kab. Bandung Barat",2,1,108,70,Second
"Rp 711,5 Juta - Rp 1,21 Miliar","Cileungsi, Kab. Bogor",0,0,0,0,Baru
"Rp 2,35 Miliar","Gunung Putri, Kab. Bogor",4,4,176,250,Second
"Rp 660 Juta - Rp 9,6 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 565 Juta,"Sleman, Kab. Sleman",2,2,LB 48,0,Second
Rp 490 Juta - Rp 750 Juta,"Tajurhalang, Kab. Bogor",0,0,0,0,Baru
"Rp 3,7 Miliar","Rungkut, Kota Surabaya",5,4,215,342,Second
Rp 490 Juta - Rp 750 Juta,"Tajurhalang, Kab. Bogor",0,0,0,0,Baru
"Rp 369,25 Juta","Seyegan, Kab. Sleman",2,1,85,36,Second
Rp 900 Juta,"Serpong, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 2,15 Miliar","Buahbatu (Margacinta), Kota Bandung",4,3,LB 155,0,Second
Rp 900 Juta,"Serpong, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 489 Juta,"Medansatria (Medan Satria), Kota Bekasi",3,1,60,60,Second
"Rp 1,46 Miliar - Rp 2,14 Miliar","Pagedangan, Kab. Tangerang",0,0,0,0,Baru
"Rp 1,1 Miliar","Margahayu, Kab. Bandung",3,3,90,120,Second
"Rp 1,26 Miliar - Rp 1,93 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",0,0,0,0,Baru
"Rp 3,9 Miliar","Parongpong, Kab. Bandung Barat",4,4,330,300,Second
Rp 475 Juta - Rp 815 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 8,99 Miliar","Sambikerep, Kota Surabaya",7,7,240,567,Second
"Rp 892,8 Juta - Rp 1,51 Miliar","Cileungsi, Kab. Bogor",0,0,0,0,Baru
Rp 166 Juta,"Arjasari, Kab. Bandung",2,1,60,30,Second
"Rp 1,45 Miliar - Rp 1,6 Miliar","Duren Sawit, Kota Jakarta Timur",0,0,0,0,Baru
Rp 2 Miliar,"Duren Sawit, Kota Jakarta Timur",3,2,92,150,Second
"Rp 1,38 Miliar - Rp 1,5 Miliar","Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
"Rp 1,67 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",5,3,120,220,Second
Rp 497 Juta - Rp 775 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
"Rp 4,7 Miliar","Lakarsantri, Kota Surabaya",4,5,162,250,Second
"Rp 899 Juta - Rp 1,3 Miliar","Jatiasih, Kota Bekasi",0,0,0,0,Baru
Rp 939 Juta,"Bogor Barat, Kota Bogor",3,2,60,60,Second
"Rp 1,35 Miliar - Rp 1,4 Miliar","Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
"Rp 4,7 Miliar","Sambikerep, Kota Surabaya",4,5,162,250,Second
"Rp 585 Juta - Rp 1,06 Miliar","Tapos, Kota Depok",0,0,0,0,Baru
"Rp 1,2 Miliar","Ciracas, Kota Jakarta Timur",2,1,56,100,Second
"Rp 1,45 Miliar - Rp 1,5 Miliar","Jatiasih, Kota Bekasi",0,0,0,0,Baru
Rp 70 Miliar,"Dukuh Pakis, Kota Surabaya",7,5,1.250,1.600,Second
"Rp 1 Miliar - Rp 1,78 Miliar","Bekasi Selatan, Kota Bekasi",0,0,0,0,Baru
"Rp 1,85 Miliar","Mulyorejo, Kota Surabaya",4,4,82,110,Second
"Rp 4 Miliar - Rp 4,1 Miliar","Jagakarsa, Kota Jakarta Selatan",0,0,0,0,Baru
"Rp 1,75 Miliar","Arcamanik, Kota Bandung",3,LT 250 m²,LB 190,0,Second
Rp 431 Juta - Rp 512 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",0,0,0,0,Baru
Rp 950 Juta,"Tarumajaya, Kab. Bekasi",4,2,126,100,Second
"Rp 4,25 Miliar","Pasar Minggu, Kota Jakarta Selatan",0,0,0,0,Baru
Rp 565 Juta,"Sleman, Kab. Sleman",2,2,LB 48,0,Second
"Rp 3,65 Miliar","Pasar Minggu, Kota Jakarta Selatan",0,0,0,0,Baru
"Rp 1,85 Miliar","Medansatria (Medan Satria), Kota Bekasi",4,2,146,170,Second
"Rp 3,65 Miliar","Pasar Minggu, Kota Jakarta Selatan",0,0,0,0,Baru
"Rp 1,65 Miliar","Ciracas, Kota Jakarta Timur",2,2,91,108,Second
"Rp 2,85 Miliar - Rp 2,9 Miliar","Pasar Minggu, Kota Jakarta Selatan",0,0,0,0,Baru
Rp 775 Juta,"Serpong, Kota Tangerang Selatan",2,1,60,40,Second
"Rp 999 Juta - Rp 1,5 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 3,8 Miliar","Banjaran, Kab. Bandung",3,3,4.176,800,Second
"Rp 990 Juta - Rp 1,5 Miliar","Pondok Aren, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 850 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",3,2,97,180,Second
"Rp 980 Juta - Rp 1,6 Miliar","Pondok Aren, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 699 Juta,"Arcamanik, Kota Bandung",2,2,105,70,Second
"Rp 938 Juta - Rp 1,1 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 870 Juta,"Medansatria (Medan Satria), Kota Bekasi",3,1,104,77,Second
Rp 848 Juta - Rp 912 Juta,"Cipayung, Kota Jakarta Timur",0,0,0,0,Baru
"Rp 2,5 Miliar","Tarumajaya, Kab. Bekasi",2,2,LB 69,0,Second
"Rp 1,4 Miliar - Rp 1,8 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 4,5 Miliar","Pademangan, Kota Jakarta Utara",4,4,120,250,Second
Rp 799 Juta - Rp 905 Juta,"Cipayung, Kota Jakarta Timur",0,0,0,0,Baru
"Rp 1,65 Miliar","Arcamanik, Kota Bandung",5,3,250,190,Second
Rp 422 Juta - Rp 787 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 4,45 Miliar","Kebon Jeruk, Kota Jakarta Barat",5,3,268,200,Second
